gender,birth,marriage,religion,income,code_job,code_region
2,1971,5,2,,,1
1,1959,1,2,,873,1
2,1965,1,2,80,442,1
1,1987,5,2,162,910,1
2,1988,5,2,243,313,1
1,1938,3,2,,,1
2,1939,2,2,,,1
1,1964,5,2,236,751,1
1,1969,1,2,301,312,1
2,1977,1,2,193,314,1
2,2006,0,2,,,1
1,2010,0,2,,,1
2,1939,2,1,,,1
2,1971,1,1,283,312,2
1,1966,1,1,200,251,2
1,2012,0,1,,,2
1,1965,5,1,,,1
2,1958,3,1,,521,1
1,1987,5,1,271,312,1
1,1938,2,2,,,1
2,1942,2,1,,,1
1,1925,1,2,,,1
2,1936,1,2,,,1
2,1953,2,1,,,1
1,1978,1,1,608,753,1
2,1979,1,1,,,1
1,2009,0,1,,,1
1,2011,0,1,,,1
1,1979,1,2,750,312,2
2,1983,1,2,,,2
2,1946,3,2,,,1
1,1957,5,2,,,1
2,1934,2,1,27,941,1
2,1958,1,1,128,951,1
2,1983,1,1,683,320,1
1,1975,1,1,462,311,1
1,2014,0,1,,,1
2,2015,0,1,,,1
1,1984,1,2,450,761,2
2,1984,1,2,,,2
2,2013,0,2,,,2
1,1945,3,2,,,2
2,1982,5,1,170,225,2
2,1957,2,1,,951,1
1,1982,5,1,344,412,1
2,1979,1,2,172,320,1
1,1975,1,2,500,231,1
1,2012,0,2,,,1
1,2015,0,2,,,1
1,1932,1,1,,,1
2,1940,1,1,,,1
1,1959,1,1,,274,2
2,1964,1,1,235,442,2
2,1989,5,1,500,254,2
2,1990,5,1,248,243,2
1,1952,3,1,,,1
1,1952,1,1,,,1
2,1950,1,1,,,1
2,1980,5,1,,,1
1,1967,1,2,,873,1
2,1968,1,2,,422,1
2,1995,5,2,204,442,1
1,2000,5,2,,,1
1,1973,1,2,,531,1
2,1976,1,1,,,1
1,2006,0,1,,,1
1,1973,1,2,500,312,1
2,1973,1,2,208,521,1
2,2000,5,2,,,1
1,2002,0,2,,,1
1,1964,1,2,,330,1
2,1962,1,1,53,247,1
2,1991,5,1,,,1
1,1947,1,1,,,1
2,1958,1,1,,422,1
1,1976,1,1,,941,1
2,1981,1,1,100,254,1
1,2008,0,1,,,1
2,1951,2,1,,,1
2,1933,2,1,,,1
1,1976,1,2,417,245,2
2,1977,1,2,,,2
1,2004,0,2,,,2
1,2007,0,2,,,2
1,1933,6,1,,,1
2,1936,2,1,,,1
1,1958,1,1,,873,1
2,1962,1,1,,,1
1,1988,5,1,196,245,1
1,1977,1,2,460,441,7
2,1977,1,2,,,7
2,2007,0,2,,,7
2,2009,0,2,,,7
1,2011,0,2,,,7
1,1979,1,2,300,222,2
2,1979,1,2,207,313,2
1,2007,0,2,,,2
2,2013,0,2,,,2
2,1946,2,2,,,2
1,1944,1,1,,873,1
2,1952,1,1,,,1
1,1972,5,2,,521,1
1,1944,1,1,,,2
2,1952,1,1,120,521,2
1,1946,1,1,160,942,1
2,1948,1,1,,,1
2,1936,2,2,,,1
1,1935,1,2,,,1
2,1942,1,2,,,1
1,1977,1,1,506,510,2
2,1979,1,1,130,312,2
1,2006,0,1,,,2
2,2008,0,1,,,2
2,1930,2,2,,,1
1,1965,1,2,,762,1
2,1970,1,2,,,1
2,1995,5,2,172,422,1
2,2001,0,2,,,1
2,1940,2,2,,,1
2,1943,2,1,27,999,1
1,1938,1,1,5,941,1
2,1946,1,2,,,1
1,1954,1,2,,873,1
2,1958,1,2,,521,1
1,1984,5,2,,921,1
2,1937,2,1,,,1
2,1962,2,1,107,952,1
2,1941,2,1,115,710,1
1,1968,5,2,,,1
2,1953,2,1,108,952,1
1,1974,1,2,592,222,1
2,1979,1,2,244,313,1
2,2007,0,2,,,1
2,1954,2,1,111,952,7
1,1944,1,1,,,1
2,1944,1,1,,,1
1,1952,1,2,,,1
2,1956,1,2,,,1
2,1984,1,2,,,5
1,1983,1,2,375,761,5
1,2010,0,2,,,5
2,2013,0,2,,,5
2,1948,2,2,,531,1
2,1942,2,1,,,1
2,1965,1,2,333,159,1
2,1989,5,2,200,312,1
2,1994,5,2,192,312,1
1,1959,1,2,,873,1
2,1941,1,1,,,1
1,1940,1,1,60,942,1
1,1932,1,2,,,1
2,1936,1,2,,,1
1,1960,1,1,200,942,1
2,1963,1,1,,,1
2,1990,5,2,310,283,1
1,1963,1,1,,873,6
2,1990,1,1,53,281,6
2,2011,0,1,,,6
2,2013,0,1,,,6
1,1977,1,1,559,411,1
2,1978,1,1,658,243,1
2,2006,0,1,,,1
2,1950,2,1,,,1
1,2008,0,1,,,1
1,2016,0,1,,,1
2,1980,1,1,,,7
1,1980,1,2,,730,7
1,2010,0,1,,,7
1,2013,0,1,,,7
2,2016,0,1,,,7
1,1948,1,2,,782,1
2,1950,1,1,30,941,1
1,1977,5,2,333,223,1
2,1976,1,1,,,1
1,1973,1,1,448,231,1
1,2008,0,1,,,1
1,1968,1,2,,721,1
2,1966,1,2,363,721,1
2,2000,5,2,,,1
1,1959,1,2,,910,1
2,1964,1,2,108,951,1
2,1986,5,2,213,312,1
2,1988,5,2,208,313,1
1,1939,1,1,,,2
2,1940,1,1,,,2
1,1945,1,2,,,1
2,1949,1,2,,,1
1,1973,1,2,280,259,1
2,1969,1,2,458,259,1
2,2007,0,1,,,1
1,2009,0,1,,,1
1,1936,1,1,,,1
2,1946,1,1,,,1
2,1957,3,2,170,722,1
2,1987,5,2,,,1
1,1991,5,2,140,314,1
1,1955,1,1,20,251,1
2,1960,1,1,184,421,1
1,1989,5,1,291,312,3
1,1957,3,2,,532,1
1,1989,5,2,260,771,1
1,1952,3,2,184,942,1
1,1960,1,1,275,910,1
2,1960,1,1,100,441,1
2,1993,5,2,280,521,1
2,1988,1,2,203,442,2
1,1984,1,2,327,441,2
2,1944,2,1,,,1
2,1971,5,2,,281,1
2,1976,1,2,581,312,2
1,1973,1,2,1005,235,2
1,1950,1,1,,873,1
2,1953,1,1,30,951,1
1,1982,1,2,450,252,1
2,1987,1,2,417,399,1
1,2016,0,2,,,1
2,1937,3,1,,,1
1,1938,2,2,,,1
2,1963,3,1,378,442,1
2,1992,5,1,,,1
2,1995,5,1,280,399,1
1,1954,2,1,,,1
2,1994,1,1,60,314,2
1,1994,1,1,180,743,2
2,2016,0,2,,,2
1,1965,1,1,,783,1
2,1969,1,1,221,722,1
2,1992,1,1,,,1
2,1993,5,1,180,422,1
2,2000,5,1,,,1
1,1970,1,2,367,873,1
2,1971,1,2,213,722,1
2,2001,0,2,,,1
2,2003,0,2,,,1
2,1944,3,1,15,941,1
2,1950,3,1,,,1
1,1971,2,1,210,149,1
2,1936,2,1,,,1
1,1957,1,2,,,2
2,1958,1,2,,,2
1,1983,5,2,,,2
2,1979,1,2,,,2
1,1975,1,2,678,133,2
2,2009,0,2,,,2
1,2012,0,2,,,2
1,1962,1,2,290,891,1
2,1964,1,2,,,1
1,1990,5,2,209,222,1
1,1994,5,2,221,874,1
1,1952,1,2,133,992,1
2,1957,1,2,,442,1
1,1981,1,2,583,246,1
2,1986,1,2,423,246,1
1,2015,0,2,,,1
2,1984,1,2,333,320,1
1,1982,1,2,704,312,1
2,2017,0,2,,,1
1,1952,3,2,,,1
1,1929,2,1,,,1
1,1936,1,2,,,1
2,1936,1,2,,,1
1,1960,5,2,,,1
1,1966,1,2,,823,1
2,1966,1,2,,823,1
2,2004,0,2,,,1
2,2004,0,2,,,1
1,1938,1,2,,,1
2,1939,1,2,,,1
1,1960,1,1,429,875,1
2,1962,1,1,60,521,1
1,1961,1,1,,159,1
2,1968,1,1,281,259,1
2,1999,5,1,,521,1
1,1964,1,1,404,248,5
2,1975,1,1,,,5
2,1997,5,1,,,5
1,1999,5,1,,,5
2,2008,0,1,,,5
2,2011,0,1,,,5
2,1942,3,1,,,1
1,1974,1,2,300,783,2
2,1981,1,2,,,2
2,2007,0,2,,,2
1,1940,1,1,,,1
2,1943,1,1,,,1
1,2000,5,1,,,1
1,1968,3,1,,521,1
1,1955,1,1,,874,1
2,1961,1,1,,951,1
1,1961,1,1,292,892,1
2,1961,1,1,,,1
1,1938,1,1,,,1
2,1943,1,1,,,1
1,1979,1,2,433,312,2
2,1983,1,2,,,2
1,2010,0,2,,,2
1,1945,1,1,,,2
2,1953,1,1,130,951,2
2,1946,2,2,,,1
2,1947,4,1,,,1
1,2001,0,1,,,1
2,1935,2,1,,,1
2,1950,2,2,,,1
1,1978,5,2,677,320,1
2,1979,5,2,,,1
1,1981,5,2,330,922,1
2,1927,2,1,,,2
2,1960,1,1,,422,2
1,1953,1,1,160,864,2
2,1986,5,1,250,399,2
1,1973,5,1,333,221,1
1,1970,1,1,,873,1
2,1969,1,1,378,313,1
1,1999,5,1,,,1
2,1943,2,1,,,1
1,1979,1,1,,721,1
2,1983,1,1,,721,1
1,2017,0,2,,,1
1,1947,1,1,,611,4
2,1948,1,1,,,4
2,1980,5,2,195,285,1
1,1963,1,1,,799,1
2,1961,1,1,,,1
1,1937,1,1,,,1
2,1937,1,1,,,1
1,1937,1,2,,,1
2,1943,1,2,,,1
1,1936,1,1,,,1
2,1939,1,1,,,1
1,1969,1,1,412,799,1
2,1971,1,1,,,1
2,2000,5,1,,,1
2,2002,0,1,,,1
2,1972,1,2,225,313,2
1,1979,1,2,300,221,2
2,2010,0,2,,,2
1,2012,0,2,,,2
2,1956,2,1,180,441,1
1,1982,5,1,400,259,1
1,1945,1,2,,141,1
2,1948,1,2,,,1
2,1954,3,1,180,521,2
1,1974,1,2,600,521,1
2,1974,1,2,,442,1
2,2005,0,2,,,1
1,1963,1,1,160,791,1
2,1964,1,1,23,421,1
2,1990,5,1,263,245,1
1,1991,5,1,308,231,1
2,1935,2,1,,,1
1,1950,1,1,,,1
2,1953,1,1,,,1
2,1958,3,1,,,1
1,1984,5,1,220,910,1
1,1950,1,2,30,259,6
2,1954,1,2,,,6
1,1977,1,2,917,139,1
2,1979,1,2,,,1
1,2010,0,2,,,1
1,2014,0,2,,,1
2,2015,0,2,,,1
2,1979,1,2,342,313,1
1,1980,1,2,500,313,1
2,2014,0,2,,,1
2,2014,0,2,,,1
1,2016,0,2,,,1
2,1969,1,2,125,510,2
1,1970,1,2,667,312,2
2,1946,2,1,81,930,1
2,1943,2,1,,,7
1,1917,2,2,,,7
1,1932,1,1,,,1
2,1938,1,1,,,1
1,1969,5,1,,,1
2,1930,2,2,,,1
2,1953,3,2,,,6
2,1983,1,2,120,399,6
2,2013,0,2,,,6
1,1978,1,2,357,312,6
1,2010,0,2,,,6
1,1969,1,2,558,311,2
2,1973,1,1,525,252,2
2,2000,5,2,,,2
1,2003,0,2,,,2
2,1943,3,2,109,941,1
1,1969,1,2,628,411,1
2,1972,1,2,135,259,1
2,2000,5,2,,,1
2,2002,0,2,,,1
1,1975,1,2,,852,1
2,1976,1,2,,313,1
1,2004,0,2,,,1
1,2009,0,2,,,1
2,1939,2,1,,,1
1,1969,5,2,,,1
1,1956,1,2,,,1
2,1958,1,2,,,1
2,1963,5,1,150,532,3
1,1948,1,2,,,1
2,1954,1,2,,,1
2,1979,1,2,,,1
1,1979,1,2,394,873,1
2,2011,0,2,,,1
1,2013,0,2,,,1
1,1957,1,1,263,783,1
2,1955,1,1,29,930,1
1,1968,1,2,658,223,1
2,1971,1,1,202,311,1
1,1999,5,1,150,521,1
1,1958,1,1,,783,1
2,1990,5,1,350,241,1
1,1993,5,2,,,1
2,1962,2,1,215,391,1
2,1986,5,1,60,254,1
1,1990,5,1,267,312,1
2,1950,5,2,,,1
1,1933,1,1,,,1
2,1939,1,1,,,1
1,1965,5,1,,,1
2,1940,2,1,,,1
1,1942,3,1,4,941,1
1,1975,1,2,,510,1
2,1980,1,2,250,510,1
1,2007,0,2,,,1
2,2009,0,2,,,1
1,1935,1,1,,,1
2,1942,1,1,,,1
1,1973,1,1,,873,1
2,1976,1,1,,,1
1,1935,1,2,,,1
2,1941,1,2,,,1
1,1926,2,2,,,1
1,1949,1,1,,,1
2,1955,1,1,,,1
2,1990,5,1,159,999,1
1,1937,1,1,,,2
2,1936,1,1,,,2
2,1988,5,1,400,521,2
2,1990,5,1,259,521,2
2,1992,5,1,200,521,2
1,1954,1,1,231,922,2
2,1960,1,1,110,941,2
1,1995,5,1,,441,2
1,1968,5,2,,783,1
2,1934,2,1,,,1
1,1963,5,1,,,1
2,1945,2,2,,,1
1,1970,5,2,,,1
1,1970,5,2,153,752,1
1,1993,5,1,247,761,1
1,1975,1,1,,,1
2,1968,1,1,163,399,1
2,2005,0,1,,,1
2,2007,0,1,,,1
2,1971,5,2,428,133,1
1,1946,1,1,,,1
2,1951,1,1,,,1
2,1979,1,1,495,311,1
1,1978,1,1,508,311,1
2,2007,0,1,,,1
1,2010,0,1,,,1
1,1945,1,1,,,2
2,1951,1,1,168,246,2
2,1970,4,2,175,521,1
1,1995,5,2,,,1
2,1999,5,2,,,1
2,1933,2,1,,,2
1,1995,5,2,294,899,2
1,1947,1,2,,,1
2,1942,1,1,,,1
2,1942,2,2,,,1
1,1961,5,2,,,1
1,1993,5,2,146,274,1
2,1995,5,2,179,313,1
1,1932,1,2,,,1
2,1939,1,2,,,1
2,1978,5,2,,,1
1,1983,5,1,,159,1
2,1927,2,1,,,1
1,1945,1,1,198,910,1
2,1951,1,1,,,1
2,1965,3,2,247,441,1
2,1986,5,2,200,286,1
1,1945,1,2,,,1
2,1949,1,1,,,1
1,1968,1,2,,254,2
2,1969,1,2,,254,2
1,1959,1,1,326,873,2
2,1960,1,1,,,2
2,1986,1,2,,312,2
1,1980,1,2,,921,2
2,2015,0,2,,,2
2,2017,0,2,,,2
1,1962,1,1,,,1
2,1965,1,1,163,941,1
2,1991,5,1,358,952,1
1,1994,5,1,,,1
1,1965,1,2,,811,1
2,1965,1,1,,,1
2,1992,5,2,,,1
2,1996,5,2,,,1
1,1964,1,1,400,312,2
2,1966,1,1,130,421,2
1,1990,5,1,,930,2
2,1997,5,1,,,2
2,1953,3,1,,,1
1,1950,1,2,,,1
2,1954,1,2,,,1
2,1984,1,2,168,399,1
1,1978,1,2,335,132,1
2,2014,0,2,,,1
1,2017,0,2,,,1
2,1987,1,2,305,243,2
1,1980,1,2,270,753,2
2,1960,3,1,,,1
2,1992,5,1,,,1
2,1995,5,1,,,1
2,1974,1,1,209,521,1
1,1975,1,1,,441,1
1,1968,3,2,560,873,1
2,1997,5,2,75,952,1
1,1969,1,2,623,213,1
2,1970,1,2,,,1
2,2002,0,2,,,1
1,1958,1,1,210,863,1
2,1958,1,2,,,1
2,1960,4,1,140,521,1
2,1984,5,2,,159,1
1,1957,1,2,,521,5
2,1960,1,2,,521,5
2,1995,5,2,333,320,5
2,1995,5,2,229,314,1
1,1968,1,1,,842,1
2,1971,1,1,63,421,1
1,1998,5,1,,,1
1,2001,0,1,,,1
1,1952,1,1,313,141,1
2,1952,1,1,,951,1
2,1983,5,1,,281,1
2,1978,1,1,510,252,1
1,1975,1,1,378,285,1
1,2008,0,1,,,1
2,2010,0,1,,,1
2,1983,5,2,,,1
2,1980,1,1,,,1
1,1979,1,1,610,231,1
2,2010,0,1,,,1
1,1958,1,2,278,431,1
2,1965,1,2,108,952,1
2,1993,5,2,188,224,1
2,1996,5,2,,,1
1,1963,3,2,,522,1
1,1939,1,2,,,1
2,1947,1,2,130,941,1
2,1945,2,1,,,1
2,1930,2,1,,,1
2,1938,2,1,,,1
1,1966,3,1,,521,1
2,1995,5,1,180,953,1
2,1996,5,1,149,521,1
2,1949,2,1,,,1
2,1945,3,2,,,1
2,1930,2,1,,,1
2,1937,2,1,,,1
2,1956,3,2,,441,1
2,1988,5,2,419,722,1
1,1932,1,2,,,1
2,1942,1,1,,,1
2,1957,2,2,,,1
1,1982,5,2,350,134,1
1,1980,1,2,353,284,2
2,1982,1,2,100,284,2
2,1970,2,1,181,421,1
1,2000,5,1,,,1
1,2001,0,1,,,1
1,1966,1,1,763,313,1
2,1970,1,1,60,951,1
2,1998,5,1,213,314,1
2,2000,5,1,,,1
1,1940,1,1,,,1
2,1944,1,1,,,1
1,1972,5,2,240,799,1
2,1940,2,1,,,1
2,1958,3,2,250,442,1
2,1984,5,2,230,314,1
2,1982,5,2,,,1
1,1946,1,1,,121,1
2,1950,1,1,,,1
1,1969,1,2,269,510,1
2,1972,1,2,187,441,1
2,2001,0,2,,,1
2,2003,0,2,,,1
1,1960,1,2,,910,1
2,1962,1,2,,442,1
1,1942,1,1,168,942,1
2,1941,1,1,,,1
1,1952,1,2,,521,1
2,1956,1,2,182,951,1
2,1982,1,2,,399,1
1,1976,1,2,350,135,1
1,2009,0,2,,,1
2,2015,0,2,,,1
1,1939,1,1,,,1
2,1943,1,1,,,1
2,1932,2,1,,,2
2,1990,1,1,,,2
1,1986,1,1,417,510,2
2,2015,0,1,,,2
2,2018,0,1,,,2
1,1948,1,2,,,2
2,1952,1,2,,,2
1,1945,1,1,,,1
2,1947,1,1,,,1
1,1957,1,1,,,1
2,1962,1,1,,951,1
1,1983,5,1,,,1
2,1954,2,1,,,2
2,1975,5,1,367,285,2
2,1981,1,1,,,1
1,1980,1,2,,,1
1,1939,1,2,,,1
2,1946,1,1,,,1
1,1968,1,1,480,510,1
2,1969,1,1,,,1
2,1997,5,1,,,1
1,2000,5,1,,,1
1,1964,1,1,350,873,1
2,1972,1,1,267,532,1
2,2001,0,1,,,1
1,2002,0,1,,,1
1,1962,1,1,583,235,1
2,1961,1,1,,,1
2,1986,5,1,175,612,1
1,1992,5,1,,,1
1,1943,1,2,,,1
2,1946,1,2,,,1
1,1940,1,1,,,1
2,1942,1,1,,,1
2,1947,3,2,27,153,7
1,1958,3,2,,532,7
2,1954,2,2,,,1
1,1942,1,2,58,951,1
2,1947,1,2,,,1
1,1975,1,1,349,232,1
2,1981,1,1,,,1
1,2011,0,1,,,1
1,2013,0,1,,,1
1,2017,0,1,,,1
2,1944,3,1,,,1
2,1935,2,1,,,2
2,1936,2,1,,,1
2,1959,3,1,73,421,7
1,1945,1,2,120,941,1
2,1947,1,2,,,1
1,1963,1,1,,873,1
2,1960,1,1,417,510,1
1,1955,1,2,,,1
2,1956,1,1,,,1
2,1989,5,1,201,314,1
2,1987,1,1,,,1
1,1981,1,1,1417,312,1
2,2016,0,1,,,1
1,1956,1,2,,,5
2,1940,2,1,,,1
1,1971,5,1,,,1
2,1939,2,1,,,7
2,1964,1,2,,611,7
1,1952,1,2,,611,7
1,1956,1,1,,873,1
2,1964,1,1,99,951,1
2,1992,5,1,194,313,1
2,1995,5,1,,,1
1,1963,1,1,750,772,1
2,1967,1,1,,,1
2,1992,5,1,130,259,1
2,1994,5,1,200,314,1
1,2003,0,1,,,1
1,1939,1,1,,,1
2,1946,1,1,,,1
1,1967,1,2,634,312,1
2,1966,1,2,,521,1
1,1993,5,2,259,799,1
1,1970,5,2,,762,7
2,1942,2,1,27,421,7
1,1973,5,2,,442,7
1,1948,1,2,,910,1
2,1953,1,2,,,1
1,1981,1,2,524,222,1
2,1985,1,1,,,1
2,1931,2,1,,,1
1,1969,1,2,842,312,2
2,1971,1,2,160,313,2
2,2001,0,2,,,2
1,1974,1,2,515,922,1
2,1976,1,2,,,1
1,2005,0,1,,,1
2,2007,0,2,,,1
1,1974,1,2,649,274,1
2,1975,1,2,508,252,1
2,2004,0,2,,,1
1,1971,1,1,410,313,7
2,1979,1,2,400,252,7
1,2005,0,2,,,7
1,2007,0,2,,,7
1,2013,0,2,,,7
1,1969,1,2,426,892,2
2,1969,1,1,208,521,2
2,2001,0,1,,,2
2,2002,0,1,,,2
1,1970,1,1,1585,221,1
2,1971,1,1,,,1
2,2003,0,1,,,1
1,1962,1,2,417,274,2
2,1971,1,2,458,312,2
2,2007,0,2,,,2
2,1960,5,1,230,251,1
2,1957,3,2,200,952,1
2,1982,1,2,173,253,1
2,1985,5,2,200,399,1
1,1982,1,2,365,510,1
2,2014,0,2,,,1
2,2017,0,2,,,1
1,1949,1,1,,,1
2,1952,1,1,,,1
1,1972,5,1,,,1
1,1974,1,2,500,239,2
2,1977,1,2,,,2
2,2013,0,2,,,2
2,1940,2,1,,,1
1,1941,1,2,,,1
2,1942,1,1,108,999,1
2,1935,2,1,,,1
1,1953,1,1,322,510,1
2,1956,1,1,258,243,1
1,1952,1,2,,783,1
2,1956,1,2,,,1
1,1983,5,2,210,399,1
1,1952,1,2,682,313,1
2,1950,1,2,,,1
1,1982,5,2,370,231,1
1,1979,1,1,583,261,1
2,1984,1,1,,,1
1,2011,0,1,,,1
1,2011,0,1,,,1
2,1938,2,1,,,1
2,1936,2,1,,,1
2,1984,1,1,414,239,5
1,1983,1,1,500,312,5
1,1967,1,1,1000,312,1
2,1971,1,1,,259,1
2,2003,0,1,,,1
2,2006,0,1,,,1
1,1956,1,2,222,792,1
2,1956,1,2,,,1
1,1986,5,2,230,510,1
1,1947,1,1,,611,2
2,1953,1,1,,873,2
1,1963,1,1,52,248,2
2,1966,1,1,,,2
2,1999,5,1,,259,2
1,2001,0,1,,,2
1,2005,0,1,,,2
1,1944,1,1,222,942,1
2,1946,1,1,,,1
2,1929,2,1,,,1
2,1940,2,1,,,1
2,1972,5,1,,254,1
2,1951,2,1,,,1
2,1972,1,2,673,285,1
1,1971,1,2,250,222,1
1,1974,1,2,358,521,2
2,1978,1,2,342,521,2
2,1952,3,1,,441,1
1,1984,5,2,,,1
2,1952,2,1,,,1
1,1979,1,1,,,2
2,1979,1,1,,,2
1,2017,0,1,,,2
1,1977,1,2,633,159,1
2,1975,1,2,,,1
1,2010,0,2,,,1
1,2016,0,2,,,1
2,1963,2,1,150,421,2
2,1990,5,1,72,442,2
2,1992,5,1,250,399,2
2,1979,1,2,520,223,1
1,1979,1,2,623,222,1
2,2012,0,2,,,1
1,1941,6,1,,952,1
2,1944,2,1,27,952,1
2,1942,1,2,,,1
1,1974,1,2,,522,1
2,1974,1,2,,,1
2,2006,0,2,,,1
1,2010,0,2,,,1
2,1942,2,1,,,2
1,1981,1,2,450,532,1
2,1981,1,2,110,952,1
1,2006,0,2,,,1
2,2009,0,2,,,1
1,1975,1,2,542,222,1
2,1975,1,2,,,1
2,2003,0,2,,,1
2,2006,0,2,,,1
1,1964,1,2,285,313,1
2,1968,1,2,260,243,1
2,2001,0,2,,,1
2,2003,0,2,,,1
1,2005,0,2,,,1
2,1927,2,2,,,1
