발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2022,2022-01-04 19:00,야,화,1,2,2,0,0,경기,파주시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,928814,1980749,126.69114002,37.82371271
2022,2022-01-04 21:00,야,화,1,0,0,0,0,부산,연제구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,기타,1142464,1689599,129.06481187,35.19161415
2022,2022-01-05 04:00,야,수,1,0,0,0,0,서울,동작구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,953351,1942887,126.97235132,37.48404544
2022,2022-01-05 04:00,야,수,2,0,0,0,0,경기,의왕시,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,승합차,953259,1926466,126.97234989,37.33603141
2022,2022-01-05 06:00,주,수,1,0,0,0,0,서울,동작구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,건설기계,보행자,954021,1942097,126.97997878,37.47695852
2022,2022-01-05 21:00,야,수,1,2,0,2,0,인천,강화군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승합차,912273,1971632,126.50431732,37.74011097
2022,2022-01-05 22:00,야,수,1,2,0,2,0,부산,동구,차대차,추돌,추돌,안전거리 미확보,기타,기타,승용차,승용차,1140785,1682168,129.04510851,35.12486862
2022,2022-01-05 22:00,야,수,1,0,0,0,0,강원,횡성군,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,1057694,1934628,128.15192614,37.40898176
2022,2022-01-06 01:00,야,목,1,0,0,0,0,경기,포천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,968343,1980407,127.14029506,37.82285835
2022,2022-01-06 08:00,주,목,1,2,2,0,0,경북,울진군,차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,단일로,기타단일로,승용차,보행자,1165347,1859510,129.35145311,36.71923938
2022,2022-01-06 15:00,주,목,1,0,0,0,0,경남,창녕군,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승용차,1087876,1733016,128.46999787,35.58930643
2022,2022-01-06 18:00,야,목,1,0,0,0,0,경북,의성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1108207,1826779,128.7071966,36.43246593
2022,2022-01-06 20:00,야,목,1,0,0,0,0,경기,부천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,936796,1944115,126.78500317,37.49412877
2022,2022-01-06 21:00,야,목,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,이륜차,보행자,957084,1949762,127.01417244,37.54619303
2022,2022-01-06 22:00,야,목,1,1,1,0,0,전남,신안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,876531,1629723,126.15262541,34.65434586
2022,2022-01-07 01:00,야,금,2,0,0,0,0,경남,창원시(통합),차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1112066,1680264,128.72973374,35.11131189
2022,2022-01-07 06:00,주,금,1,0,0,0,0,광주,서구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,자전거,승용차,944016,1685281,126.88528363,35.16122973
2022,2022-01-07 14:00,주,금,1,2,1,1,0,경북,안동시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1130268,1829048,128.95363307,36.45017311
2022,2022-01-07 14:00,주,금,1,0,0,0,0,경남,거제시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1092809,1657465,128.51590868,34.90771548
2022,2022-01-07 21:00,야,금,1,0,0,0,0,대구,달서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,1095479,1760642,128.55719381,35.83764583
2022,2022-01-08 05:00,야,토,1,0,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,966765,1921335,127.1250427,37.29036355
2022,2022-01-08 06:00,주,토,1,1,0,1,0,경북,영주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1105052,1863859,128.67707182,36.76702378
2022,2022-01-08 06:00,주,토,2,2,0,2,0,경북,경산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1111482,1749959,128.73286491,35.73965827
2022,2022-01-08 10:00,주,토,1,0,0,0,0,충남,보령시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,원동기장치자전거,승합차,918514,1828106,126.59073355,36.44706978
2022,2022-01-08 18:00,야,토,1,0,0,0,0,경북,영양군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1142138,1849161,129.08975106,36.62973834
2022,2022-01-08 20:00,야,토,3,1,1,0,0,강원,화천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1013311,2012964,127.65185154,38.11674394
2022,2022-01-08 21:00,야,토,1,2,2,0,0,강원,원주시,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,승합차,1038962,1924874,127.93975344,37.32204071
2022,2022-01-09 01:00,야,일,1,0,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,승용차,없음,1116042,1683273,128.77377648,35.13798769
2022,2022-01-09 05:00,야,일,1,5,0,5,0,서울,서대문구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,948019,1952545,126.91135998,37.5708097
2022,2022-01-09 13:00,주,일,1,0,0,0,0,경북,문경시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1051357,1861025,128.07528878,36.74590839
2022,2022-01-09 18:00,야,일,1,0,0,0,0,경기,평택시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,960301,1885219,127.05403198,36.96456186
2022,2022-01-09 18:00,야,일,1,1,0,1,0,경기,의정부시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,이륜차,963313,1970270,127.08365533,37.73130513
2022,2022-01-09 21:00,야,일,1,6,0,6,0,경기,고양시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,947237,1966149,126.90152242,37.69337769
2022,2022-01-10 02:00,야,월,1,1,0,1,0,경남,거제시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,화물차,승용차,1102582,1647161,128.62160689,34.81387428
2022,2022-01-10 03:00,야,월,1,0,0,0,0,전남,해남군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,917269,1619845,126.59808824,34.5693791
2022,2022-01-10 05:00,야,월,2,3,3,0,0,충남,아산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,954916,1873022,126.99426665,36.85437287
2022,2022-01-10 06:00,주,월,1,1,1,0,0,충남,공주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,건설기계,승용차,978590,1823650,127.26120563,36.41012199
2022,2022-01-10 06:00,주,월,1,2,0,2,0,인천,남동구,차대차,추돌,추돌,기타,교차로,교차로부근,화물차,건설기계,930953,1934267,126.71983184,37.40495115
2022,2022-01-10 09:00,주,월,1,0,0,0,0,대전,중구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,988998,1809715,127.37748687,36.2846681
2022,2022-01-10 10:00,주,월,1,1,1,0,0,인천,서구,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로내,화물차,화물차,924732,1953891,126.64753909,37.58133129
2022,2022-01-10 13:00,주,월,1,0,0,0,0,경기,평택시,차대차,기타,기타,신호위반,교차로,교차로횡단보도내,자전거,승용차,949007,1887035,126.92704062,36.98038704
2022,2022-01-10 17:00,주,월,1,0,0,0,0,인천,부평구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,특수차,보행자,928906,1941501,126.69600744,37.46999541
2022,2022-01-10 18:00,야,월,1,0,0,0,0,충남,논산시,차대사람,횡단중,횡단중,기타,교차로,교차로부근,승용차,보행자,964185,1795724,127.10182461,36.15793147
2022,2022-01-10 18:00,야,월,1,0,0,0,0,전북,남원시,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,988158,1710385,127.36960682,35.38908244
2022,2022-01-10 20:00,야,월,1,0,0,0,0,경북,구미시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,이륜차,1077308,1790314,128.35891048,36.10673957
2022,2022-01-11 00:00,야,화,1,0,0,0,0,경기,이천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,986899,1916931,127.35227087,37.25116756
2022,2022-01-11 00:00,야,화,1,0,0,0,0,충북,청주시,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,995098,1848449,127.44516828,36.63391496
2022,2022-01-11 01:00,야,화,1,0,0,0,0,전북,정읍시,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,자전거,화물차,948230,1741092,126.92800709,35.6646687
2022,2022-01-11 08:00,주,화,1,0,0,0,0,경북,구미시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1074966,1790571,128.33291727,36.10924007
2022,2022-01-12 07:00,주,수,1,0,0,0,0,경남,거창군,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,1036730,1743165,127.90591909,35.68403396
2022,2022-01-12 09:00,주,수,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943082,1951835,126.85551095,37.56411848
2022,2022-01-12 10:00,주,수,1,0,0,0,0,전남,순천시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,995307,1685655,127.44846641,35.16615075
2022,2022-01-12 13:00,주,수,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,건설기계,보행자,941417,1946547,126.83708122,37.51635332
2022,2022-01-12 15:00,주,수,1,1,1,0,0,경기,수원시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,956582,1922734,127.01007969,37.30255396
2022,2022-01-12 16:00,주,수,1,0,0,0,0,경북,포항시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,1168613,1781107,129.37100988,36.01221256
2022,2022-01-13 00:00,야,목,1,0,0,0,0,경기,군포시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,950825,1930057,126.94463569,37.36827305
2022,2022-01-13 07:00,주,목,1,0,0,0,0,충북,청주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,988608,1852026,127.37252084,36.66610587
2022,2022-01-13 12:00,주,목,1,0,0,0,0,경북,고령군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1068640,1746541,128.25883736,35.71276525
2022,2022-01-13 15:00,주,목,1,1,0,1,0,경기,양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,956167,1976416,127.00219002,37.78638429
2022,2022-01-13 22:00,야,목,2,2,0,2,0,서울,영등포구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,고가도로위,화물차,이륜차,946775,1946057,126.89774403,37.5122616
2022,2022-01-13 22:00,야,목,1,0,0,0,0,강원,춘천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1020064,1988835,127.72821399,37.89914888
2022,2022-01-13 23:00,야,목,1,2,2,0,0,충남,천안시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,교량위,승용차,승용차,966839,1865012,127.1283601,36.78266038
2022,2022-01-14 04:00,야,금,1,0,0,0,0,전북,군산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음,918347,1772850,126.59462411,35.94894983
2022,2022-01-14 10:00,주,금,1,1,1,0,0,경기,광주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,985370,1920731,127.33495492,37.28539794
2022,2022-01-14 20:00,야,금,1,0,0,0,0,경기,광명시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,이륜차,943369,1938788,126.85976554,37.44654235
2022,2022-01-14 21:00,야,금,1,0,0,0,0,부산,기장군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,1152966,1704173,129.1828359,35.32142683
2022,2022-01-15 13:00,주,토,1,0,0,0,0,경기,성남시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,970835,1937377,127.17032774,37.43509831
2022,2022-01-15 13:00,주,토,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,이륜차,1109971,1683844,128.70722551,35.14381748
2022,2022-01-15 14:00,주,토,1,3,0,3,0,인천,연수구,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,이륜차,승용차,924375,1932757,126.64566817,37.39082803
2022,2022-01-15 16:00,주,토,1,0,0,0,0,전남,해남군,차량단독,기타,기타,안전운전 의무 불이행,기타,기타,승용차,없음,909361,1601606,126.51382583,34.40425321
2022,2022-01-15 18:00,야,토,1,0,0,0,0,경기,안양시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,기타,953618,1933073,126.97598844,37.39560157
2022,2022-01-15 18:00,야,토,1,0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,966477,1967758,127.11967719,37.70878549
2022,2022-01-15 20:00,야,토,1,0,0,0,0,대전,유성구,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,자전거,983894,1816060,127.32052025,36.34179926
2022,2022-01-15 21:00,야,토,1,0,0,0,0,경기,광명시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,944067,1941791,126.86742828,37.4736514
2022,2022-01-15 22:00,야,토,1,2,2,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,화물차,없음,1083608,1680039,128.41747451,35.11204887
2022,2022-01-16 20:00,야,일,1,0,0,0,0,경기,남양주시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,화물차,980710,1962041,127.28130229,37.65766663
2022,2022-01-16 21:00,야,일,1,0,0,0,0,충남,천안시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967174,1880317,127.13145272,36.9206385
2022,2022-01-16 22:00,야,일,1,1,0,1,0,경남,김해시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,1127450,1694234,128.90066347,35.23541447
2022,2022-01-17 06:00,주,월,1,0,0,0,0,경기,성남시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,964961,1927109,127.10441775,37.34234261
2022,2022-01-17 06:00,주,월,1,0,0,0,0,광주,북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,942760,1691004,126.87109574,35.21276108
2022,2022-01-17 14:00,주,월,1,0,0,0,0,제주,제주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,913080,1501734,126.56419685,33.50395023
2022,2022-01-17 15:00,주,월,1,1,0,1,0,강원,영월군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,1062177,1928704,128.20208145,37.35529759
2022,2022-01-17 23:00,야,월,1,1,1,0,0,서울,영등포구,차대차,정면충돌,정면충돌,신호위반,단일로,지하차도(도로)내,승용차,승용차,943329,1947824,126.85861742,37.52798246
2022,2022-01-17 23:00,야,월,1,0,0,0,0,인천,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,923496,1941140,126.63487013,37.46630973
2022,2022-01-18 05:00,야,화,2,0,0,0,0,전남,담양군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타,기타,승용차,없음,954124,1692706,126.99585394,35.22869179
2022,2022-01-18 06:00,주,화,1,0,0,0,0,전남,나주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,932461,1675680,126.75919995,35.07395205
2022,2022-01-18 15:00,주,화,1,0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,974789,1959601,127.21425872,37.63553055
2022,2022-01-18 16:00,주,화,1,0,0,0,0,대전,대덕구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,이륜차,994018,1818267,127.43332155,36.36181244
2022,2022-01-18 17:00,주,화,1,1,1,0,0,경기,시흥시,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,이륜차,보행자,937111,1938486,126.78904702,37.443416
2022,2022-01-18 17:00,주,화,1,1,1,0,0,경기,화성시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,940949,1916455,126.83418801,37.24509716
2022,2022-01-18 17:00,주,화,1,1,1,0,0,강원,춘천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,1021937,1987220,127.74946876,37.88454968
2022,2022-01-18 18:00,야,화,1,0,0,0,0,전남,해남군,차대사람,횡단중,횡단중,교차로 통행방법 위반,교차로,교차로부근,승용차,보행자,916326,1596393,126.59010656,34.35783384
2022,2022-01-18 18:00,야,화,1,0,0,0,0,제주,제주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,농기계,919825,1501554,126.63682389,33.50285407
2022,2022-01-19 05:00,야,수,1,0,0,0,0,대구,달서구,차대사람,횡단중,횡단중,기타,교차로,교차로횡단보도내,승용차,보행자,1095824,1762364,128.56122004,35.85313536
2022,2022-01-19 07:00,주,수,1,0,0,0,0,인천,부평구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,보행자,929728,1943144,126.70514567,37.48486637
2022,2022-01-19 11:00,주,수,1,3,2,1,0,강원,인제군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,터널안,승용차,화물차,1070213,1991195,128.29882099,37.91792978
2022,2022-01-19 12:00,주,수,1,0,0,0,0,전북,군산시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,화물차,승용차,933381,1768096,126.76170718,35.90723275
2022,2022-01-19 18:00,야,수,1,2,1,1,0,강원,강릉시,차대차,추돌,추돌,안전거리 미확보,단일로,기타단일로,화물차,화물차,1114181,1988275,128.7984918,37.8871607
2022,2022-01-19 19:00,야,수,1,1,0,1,0,전남,완도군,차대차,기타,기타,기타,교차로,교차로부근,승용차,승용차,930347,1592497,126.74287755,34.32373946
2022,2022-01-19 20:00,야,수,1,0,0,0,0,경기,이천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,993469,1915366,127.42636896,37.23712983
2022,2022-01-20 06:00,주,목,1,1,1,0,0,대구,달서구,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,1089872,1762109,128.49528404,35.85140065
2022,2022-01-20 13:00,주,목,1,0,0,0,0,부산,남구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,보행자,1144072,1681670,129.08108434,35.11991455
2022,2022-01-20 17:00,주,목,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,1108910,1691573,128.69660131,35.21361147
2022,2022-01-21 04:00,야,금,2,0,0,0,0,충남,아산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,950499,1865052,126.94523938,36.78230792
2022,2022-01-21 05:00,야,금,1,0,0,0,0,전남,함평군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,910011,1676015,126.51294966,35.07521851
2022,2022-01-21 07:00,주,금,1,0,0,0,0,경기,부천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,938499,1942750,126.80438118,37.48194102
2022,2022-01-21 12:00,주,금,1,5,1,4,0,충북,진천군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,999438,1868092,127.49369925,36.81100614
2022,2022-01-21 18:00,야,금,1,4,0,4,0,충남,당진시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,924754,1878635,126.65539171,36.90304554
2022,2022-01-22 12:00,주,토,1,0,0,0,0,부산,사상구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,없음,1138040,1684671,129.01540986,35.14781112
2022,2022-01-22 13:00,주,토,1,0,0,0,0,서울,구로구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,원동기장치자전거,승용차,946497,1943917,126.89475426,37.49295736
2022,2022-01-22 20:00,야,토,1,0,0,0,0,충남,예산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,927122,1852180,126.6844999,36.66477038
2022,2022-01-22 20:00,야,토,1,0,0,0,0,전남,완도군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,943296,1600510,126.88309484,34.39678887
2022,2022-01-22 23:00,야,토,1,0,0,0,0,충북,청주시,차량단독,전복,전복,안전운전 의무 불이행,기타,기타,승용차,없음,1004454,1862054,127.54989978,36.75656473
2022,2022-01-23 05:00,야,일,1,0,0,0,0,전남,고흥군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,984346,1642984,127.32890658,34.78125657
2022,2022-01-23 06:00,주,일,1,1,0,1,0,인천,중구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,921898,1940068,126.61691505,37.45651449
2022,2022-01-24 06:00,주,월,1,0,0,0,0,충남,서천군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,911167,1795430,126.5124824,36.15187101
2022,2022-01-24 06:00,주,월,1,0,0,0,0,충남,태안군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,농기계,883781,1863157,126.19794064,36.75939349
2022,2022-01-24 08:00,주,월,1,0,0,0,0,부산,남구,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,1145212,1683380,129.09389107,35.13516425
2022,2022-01-24 11:00,주,월,1,0,0,0,0,경남,고성군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,특수차,승용차,1089684,1670085,128.4830645,35.02178059
2022,2022-01-24 13:00,주,월,1,0,0,0,0,경기,고양시,차대사람,기타,기타,기타,교차로,교차로부근,화물차,보행자,946864,1961946,126.89759813,37.65547492
2022,2022-01-24 18:00,야,월,1,0,0,0,0,전남,순천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,998557,1662808,127.48419425,34.96014135
2022,2022-01-24 18:00,야,월,1,0,0,0,0,경남,합천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1057583,1735185,128.13579386,35.6110894
